longitude,latitude
24.96613,60.20355,1224685632
24.9662066666667,60.2033766666667,1224685642
24.9662516666667,60.203215,1224685652
24.9663216666667,60.2030533333333,1224685662
24.966605,60.2029483333333,1224685672
24.9669316666667,60.202885,1224685683
24.96706,60.2027416666667,1224685693
24.9672066666667,60.2026116666667,1224685703
24.9673166666667,60.202485,1224685713
24.9676516666667,60.2020516666667,1224686539
24.9674283333333,60.2021466666667,1224686550
24.9676283333333,60.2019433333333,1224686570
24.9677533333333,60.2018833333333,1224686580
24.9678416666667,60.2017816666667,1224686591
